Variable,Data_Type,Missing_Count,Missing_Pct,Unique_Values
"Source:  Survey of Consumer Expectations, © 2013-25 Federal Reserve Bank of New York (FRBNY).   The SCE data are available without charge at www.newyorkfed.org and may be used subject to license terms posted there.  FRBNY disclaims any responsibility or legal liability for this analysis and interpretation of Survey of Consumer Expectations data.",object,0,0.0,37
Unnamed: 1,object,0,0.0,2
Unnamed: 2,object,0,0.0,2
Unnamed: 3,object,0,0.0,33
Unnamed: 4,object,0,0.0,37
Unnamed: 5,object,0,0.0,37
Unnamed: 6,object,0,0.0,37
Unnamed: 7,object,0,0.0,37
Unnamed: 8,object,0,0.0,37
Unnamed: 9,object,0,0.0,37
Unnamed: 10,object,0,0.0,37
Unnamed: 11,object,0,0.0,37
Unnamed: 12,object,0,0.0,37
Unnamed: 13,object,0,0.0,37
Unnamed: 14,object,0,0.0,37
Unnamed: 15,object,0,0.0,37
Unnamed: 16,object,0,0.0,37
Unnamed: 17,object,0,0.0,37
Unnamed: 18,object,0,0.0,37
Unnamed: 19,object,0,0.0,37
Unnamed: 20,object,0,0.0,37
Unnamed: 21,object,0,0.0,37
Unnamed: 22,object,1,2.7,36
Unnamed: 23,object,1,2.7,36
Unnamed: 24,object,1,2.7,36
Unnamed: 25,object,1,2.7,36
Unnamed: 26,object,1,2.7,36
Unnamed: 27,object,1,2.7,36
Unnamed: 28,object,1,2.7,36
Unnamed: 29,object,1,2.7,36
Unnamed: 30,object,1,2.7,36
Unnamed: 31,object,1,2.7,36
Unnamed: 32,object,0,0.0,37
Unnamed: 33,object,0,0.0,37
Unnamed: 34,object,6,16.22,31
Unnamed: 35,object,6,16.22,31
